"path","class","baseline_sha256","reason","writer"
"data/processed/.gitkeep","tracked_placeholder","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855","tracked_directory_placeholder","unknown"
"data/processed/convergence_check.rds","canonical_generated","9d012c63e73d45dc123b307b99f23b37554e34f60578261139a88dcbea72a145","canonical_current_run_product","unknown"
"data/processed/costs_qalys.rds","canonical_generated","c4199951ed1ffd5aac25ac141e54161ff8322e1aacd968e5513657ffbd3cb8a7","canonical_current_run_product","unknown"
"data/processed/evpi_results.rds","canonical_generated","11d5691121f46a7594aa4f002113ce4e452e39a21ef318846114821bd5ea1dc2","canonical_current_run_product","unknown"
"data/processed/evppi_results.rds","canonical_generated","8fdea8fb853eb363073ac60eb5831d9f86f2f48e174255779348e8d46b4a1b37","canonical_current_run_product","unknown"
"data/processed/inmb_convergence.rds","canonical_generated","cce60b37de24b9581e386d2efe0e8e2d5ae485da5507c6520539128c72d41f33","canonical_current_run_product","unknown"
"data/processed/ipd_dfs.rds","canonical_generated","721f0b0255ab91f52dd6034f989ea0df52ffd971a49544346484945836ee8e74","canonical_current_run_product","unknown"
"data/processed/ipd_os.rds","canonical_generated","8150f46c31554001b4062318c167e1b98186888e2d4b5ad377f60c74c83b8db3","canonical_current_run_product","unknown"
"data/processed/paired_ptdata_psm3mkv.rds","historical_cache_legacy_excluded","ca52e74c883adf3b0d7bf4a337a424a8b4105c0b7048b9dfe8c9498a5992a94d","excluded_pre_Gate_cache_or_legacy_product","none"
"data/processed/perspective_delta.rds","canonical_generated","8b6379ebc49aa673428f75655a811344b847a3ab0b1b8eedf616f3ca6fb842dd","canonical_current_run_product","unknown"
"data/processed/pop_evpi_horizon.rds","canonical_generated","1cc9ae792a43343e739b0091e1a8d2df6edf286162b6bd0ee51bf26dcc79f545","canonical_current_run_product","unknown"
"data/processed/psa_results.rds","canonical_generated","f3e5aaa33ba79791d5bb8ba98b1085ea4cd9c1786c57d14b3c2f6fb151f20b76","canonical_current_run_product","unknown"
"data/processed/psa_specification_sensitivity.rds","canonical_generated","9976bde3856ad08c18fafdc632e9a55e768f10264e7592fe7ceedfa9db9caa32","authorised_new_generated_path","unknown"
"data/processed/psm_trace.rds","canonical_generated","0738c956079c7ce582a186959f6ad72912188e7d10de70bab0381e6f90cb1a59","canonical_current_run_product","unknown"
"data/processed/structural_cure_point_checks.rds","canonical_generated","1e20272b2cabd5f7437e2fdc4dd1667dea008bc44595e34869470ff1b9f8e581","canonical_current_run_product","unknown"
"data/processed/survival_fits_dfs.rds","canonical_generated","29708f7286b343fbc001ca19c39dc8f5baba61b18c3f64c2add544376b671ffe","canonical_current_run_product","unknown"
"data/processed/survival_fits_dfs_ctrl.rds","canonical_generated","eeb66451481d0e196b9066e1a5c084ad10eecff781e70c8a06ec03ac87cff738","canonical_current_run_product","unknown"
"data/processed/survival_fits_dfs_int_validation.rds","canonical_generated","c0211af4b06a07141c645c523e0689594d3fd7a0ec4802f6c5d75a8dbe7b0736","canonical_current_run_product","unknown"
"data/processed/survival_fits_os.rds","canonical_generated","2021baf9605b691520ae286090684332d9dac56ca76cc49922d215e1e1e1e90b","canonical_current_run_product","unknown"
"data/processed/survival_fits_os_ctrl.rds","canonical_generated","4edd49ac625353361c36d0bb872f5689e3bf96a8fab86905234fc4417f46916a","canonical_current_run_product","unknown"
"data/processed/survival_fits_os_int_validation.rds","canonical_generated","bd2d95921386a11da606a3fe06b4e5ca72f0bba93b295e4086711bcd8dfbf221","canonical_current_run_product","unknown"
"data/processed/validation_checks.rds","canonical_generated","8e5e203569cd34c33bf82052930ac9669296d77174b37e8be962821cbcf82e4f","canonical_current_run_product","unknown"
"output/figures/.gitkeep","tracked_placeholder","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855","tracked_directory_placeholder","unknown"
"output/figures/ce_plane.pdf","canonical_generated","6ecd0938dbef784de796222e00bed0ba5a5d9ab5d10ddb6c543c5a291cc78a37","canonical_current_run_product","unknown"
"output/figures/ce_plane.png","canonical_generated","6ba46bf3dfa6fdbe1436d9a38b04bef1a6835afed7f012fce70d1143c750e45a","canonical_current_run_product","unknown"
"output/figures/ceac.pdf","canonical_generated","67ec1b8fde48bb7073d2661e5c26957ccdfef0b08455065ebc0e9f9131ab69d9","canonical_current_run_product","unknown"
"output/figures/ceac.png","canonical_generated","d44e8d9305300039ec0863d6b1e502056dd23e59c5b9e3b6098d192a45866266","canonical_current_run_product","unknown"
"output/figures/dfs_ctrl_extrapolation.pdf","canonical_generated","81968e13570f4957b18ca8aba6345fe96d832609b92b6decbb45f9f8dc82e819","canonical_current_run_product","unknown"
"output/figures/dfs_ctrl_extrapolation.png","canonical_generated","c14d54f66a65a1389139c90df5da0481e4a32279ad129944c846ead670972ebe","canonical_current_run_product","unknown"
